id,term,definition,musical_equivalent,math_equivalent,category,astro_equivalent
1672,Neptune in Pisces (12th House),"Intuition, spirituality, the subconscious","Mode: Ionian, Tempo: Fluid, ethereal, Instruments: Harp, synthesizers, Form: AmbientProgram Music",,Zodiacal-House-Planet Thematics,
1673,Minoric,3-note scale: 1,Semitone pattern: 444,,"Scales, Modes, Semitones",
1674,Thaptic,4-note scale: 1,Semitone pattern: 4341,,"Scales, Modes, Semitones",
1675,Lothic,4-note scale: 1,Semitone pattern: 3414,,"Scales, Modes, Semitones",
1676,Phratic,4-note scale: 1,Semitone pattern: 4143,,"Scales, Modes, Semitones",
1677,Aerathic,4-note scale: 1,Semitone pattern: 1434,,"Scales, Modes, Semitones",
1678,Epathic,4-note scale: 2,Semitone pattern: 4323,,"Scales, Modes, Semitones",
1679,Mynic,4-note scale: 2,Semitone pattern: 3234,,"Scales, Modes, Semitones",
1680,Rothic,4-note scale: 2,Semitone pattern: 2343,,"Scales, Modes, Semitones",
1681,Eporic,4-note scale: 2,Semitone pattern: 3432,,"Scales, Modes, Semitones",
1682,Zyphic,4-note scale: 3,Semitone pattern: 4431,,"Scales, Modes, Semitones",
1683,Epogic,4-note scale: 3,Semitone pattern: 4314,,"Scales, Modes, Semitones",
1684,Lanic,4-note scale: 3,Semitone pattern: 3144,,"Scales, Modes, Semitones",
1685,Pyrric,4-note scale: 3,Semitone pattern: 1443,,"Scales, Modes, Semitones",
1686,Aeoloric,4-note scale: 4,Semitone pattern: 4413,,"Scales, Modes, Semitones",
1687,Gonic,4-note scale: 4,Semitone pattern: 4134,,"Scales, Modes, Semitones",
1688,Dalic,4-note scale: 4,Semitone pattern: 1344,,"Scales, Modes, Semitones",
1689,Dygic,4-note scale: 4,Semitone pattern: 3441,,"Scales, Modes, Semitones",
1690,Daric,4-note scale: 5,Semitone pattern: 4332,,"Scales, Modes, Semitones",
1691,Lonic,4-note scale: 5,Semitone pattern: 3324,,"Scales, Modes, Semitones",
1692,Phradic,4-note scale: 5,Semitone pattern: 3243,,"Scales, Modes, Semitones",
1693,Bolic,4-note scale: 5,Semitone pattern: 2433,,"Scales, Modes, Semitones",
1694,Saric,4-note scale: 6,Semitone pattern: 4233,,"Scales, Modes, Semitones",
1695,Zoptic,4-note scale: 6,Semitone pattern: 2334,,"Scales, Modes, Semitones",
1696,Aeraphic,4-note scale: 6,Semitone pattern: 3342,,"Scales, Modes, Semitones",
1697,Byptic,4-note scale: 6,Semitone pattern: 3423,,"Scales, Modes, Semitones",
1698,Aeolic,4-note scale: 7,Semitone pattern: 4422,,"Scales, Modes, Semitones",
1699,Koptic,4-note scale: 7,Semitone pattern: 4224,,"Scales, Modes, Semitones",
1700,Mixolyric,4-note scale: 7,Semitone pattern: 2244,,"Scales, Modes, Semitones",
1701,Lydic,4-note scale: 7,Semitone pattern: 2442,,"Scales, Modes, Semitones",
1702,Stathic,4-note scale: 8,Semitone pattern: 4242,,"Scales, Modes, Semitones",
1703,Dadic,4-note scale: 8,Semitone pattern: 2424,,"Scales, Modes, Semitones",
1704,Phrynic,4-note scale: 9,Semitone pattern: 3333,,"Scales, Modes, Semitones",
1705,Epathitonic,5-note scale: 1,Semitone pattern: 32322,,"Scales, Modes, Semitones",
1706,Mynitonic,5-note scale: 1,Semitone pattern: 23223,,"Scales, Modes, Semitones",
1707,Rocritonic,5-note scale: 1,Semitone pattern: 32232,,"Scales, Modes, Semitones",
1708,Pentatonic,5-note scale: 1,Semitone pattern: 22323,,"Scales, Modes, Semitones",
1709,Thaptitonic,5-note scale: 1,Semitone pattern: 23232,,"Scales, Modes, Semitones",
1710,Magitonic,5-note scale: 2,Semitone pattern: 43221,,"Scales, Modes, Semitones",
1711,Daditonic,5-note scale: 2,Semitone pattern: 32214,,"Scales, Modes, Semitones",
1712,Aeolyphritonic,5-note scale: 2,Semitone pattern: 22143,,"Scales, Modes, Semitones",
1713,Gycritonic,5-note scale: 2,Semitone pattern: 21432,,"Scales, Modes, Semitones",
1714,Pyritonic,5-note scale: 2,Semitone pattern: 14322,,"Scales, Modes, Semitones",
1715,Gathitonic,5-note scale: 3,Semitone pattern: 42321,,"Scales, Modes, Semitones",
1716,Ionitonic,5-note scale: 3,Semitone pattern: 23214,,"Scales, Modes, Semitones",
1717,Phrynitonic,5-note scale: 3,Semitone pattern: 32142,,"Scales, Modes, Semitones",
1718,Stathitonic,5-note scale: 3,Semitone pattern: 21423,,"Scales, Modes, Semitones",
1719,Thalitonic,5-note scale: 3,Semitone pattern: 14232,,"Scales, Modes, Semitones",
1720,Zolitonic,5-note scale: 4,Semitone pattern: 42141,,"Scales, Modes, Semitones",
1721,Epogitonic,5-note scale: 4,Semitone pattern: 21414,,"Scales, Modes, Semitones",
1722,Lanitonic,5-note scale: 4,Semitone pattern: 14142,,"Scales, Modes, Semitones",
1723,Paptitonic,5-note scale: 4,Semitone pattern: 41421,,"Scales, Modes, Semitones",
1724,Ionacritonic,5-note scale: 4,Semitone pattern: 14214,,"Scales, Modes, Semitones",
1725,Phraditonic,5-note scale: 5,Semitone pattern: 41412,,"Scales, Modes, Semitones",
1726,Aeoloritonic,5-note scale: 5,Semitone pattern: 14124,,"Scales, Modes, Semitones",
1727,Gonitonic,5-note scale: 5,Semitone pattern: 41241,,"Scales, Modes, Semitones",
1728,Dalitonic,5-note scale: 5,Semitone pattern: 12414,,"Scales, Modes, Semitones",
1729,Dygitonic,5-note scale: 5,Semitone pattern: 24141,,"Scales, Modes, Semitones",
1730,Aeracritonic,5-note scale: 6,Semitone pattern: 41232,,"Scales, Modes, Semitones",
1731,Byptitonic,5-note scale: 6,Semitone pattern: 12324,,"Scales, Modes, Semitones",
1732,Daritonic,5-note scale: 6,Semitone pattern: 23241,,"Scales, Modes, Semitones",
1733,Lonitonic,5-note scale: 6,Semitone pattern: 32412,,"Scales, Modes, Semitones",
1734,Ionycritonic,5-note scale: 6,Semitone pattern: 24123,,"Scales, Modes, Semitones",
1735,Lothitonic,5-note scale: 7,Semitone pattern: 41223,,"Scales, Modes, Semitones",
1736,Phratonic,5-note scale: 7,Semitone pattern: 12234,,"Scales, Modes, Semitones",
1737,Aerathitonic,5-note scale: 7,Semitone pattern: 22341,,"Scales, Modes, Semitones",
1738,Saritonic,5-note scale: 7,Semitone pattern: 23412,,"Scales, Modes, Semitones",
1739,Zoptitonic,5-note scale: 7,Semitone pattern: 34122,,"Scales, Modes, Semitones",
1740,Dolitonic,5-note scale: 8,Semitone pattern: 44121,,"Scales, Modes, Semitones",
1741,Poritonic,5-note scale: 8,Semitone pattern: 41214,,"Scales, Modes, Semitones",
1742,Aerylitonic,5-note scale: 8,Semitone pattern: 12144,,"Scales, Modes, Semitones",
1743,Zagitonic,5-note scale: 8,Semitone pattern: 21441,,"Scales, Modes, Semitones",
1744,Lagitonic,5-note scale: 8,Semitone pattern: 14412,,"Scales, Modes, Semitones",
1745,Molitonic,5-note scale: 9,Semitone pattern: 43311,,"Scales, Modes, Semitones",
1746,Staptitonic,5-note scale: 9,Semitone pattern: 33114,,"Scales, Modes, Semitones",
1747,Mothitonic,5-note scale: 9,Semitone pattern: 31143,,"Scales, Modes, Semitones",
1748,Aeritonic,5-note scale: 9,Semitone pattern: 11433,,"Scales, Modes, Semitones",
1749,Ragitonic,5-note scale: 9,Semitone pattern: 14331,,"Scales, Modes, Semitones",
1750,Ionaditonic,5-note scale: 10,Semitone pattern: 43212,,"Scales, Modes, Semitones",
1751,Bocritonic,5-note scale: 10,Semitone pattern: 32124,,"Scales, Modes, Semitones",
1752,Gythitonic,5-note scale: 10,Semitone pattern: 21243,,"Scales, Modes, Semitones",
1753,Pagitonic,5-note scale: 10,Semitone pattern: 12432,,"Scales, Modes, Semitones",
1754,Aeolythitonic,5-note scale: 10,Semitone pattern: 24321,,"Scales, Modes, Semitones",
1755,Zacritonic,5-note scale: 11,Semitone pattern: 43131,,"Scales, Modes, Semitones",
1756,Laritonic,5-note scale: 11,Semitone pattern: 31314,,"Scales, Modes, Semitones",
1757,Thacritonic,5-note scale: 11,Semitone pattern: 13143,,"Scales, Modes, Semitones",
1758,Styditonic,5-note scale: 11,Semitone pattern: 31431,,"Scales, Modes, Semitones",
1759,Loritonic,5-note scale: 11,Semitone pattern: 14313,,"Scales, Modes, Semitones",
1760,Aeolyritonic,5-note scale: 12,Semitone pattern: 43113,,"Scales, Modes, Semitones",
1761,Goritonic,5-note scale: 12,Semitone pattern: 31134,,"Scales, Modes, Semitones",
1762,Aeoloditonic,5-note scale: 12,Semitone pattern: 11343,,"Scales, Modes, Semitones",
1763,Doptitonic,5-note scale: 12,Semitone pattern: 13431,,"Scales, Modes, Semitones",
1764,Aeraphitonic,5-note scale: 12,Semitone pattern: 34311,,"Scales, Modes, Semitones",
1765,Zathitonic,5-note scale: 13,Semitone pattern: 42411,,"Scales, Modes, Semitones",
1766,Raditonic,5-note scale: 13,Semitone pattern: 24114,,"Scales, Modes, Semitones",
1767,Stonitonic,5-note scale: 13,Semitone pattern: 41142,,"Scales, Modes, Semitones",
1768,Syptitonic,5-note scale: 13,Semitone pattern: 11424,,"Scales, Modes, Semitones",
1769,Ionythitonic,5-note scale: 13,Semitone pattern: 14241,,"Scales, Modes, Semitones",
1770,Aeolanitonic,5-note scale: 14,Semitone pattern: 42231,,"Scales, Modes, Semitones",
1771,Danitonic,5-note scale: 14,Semitone pattern: 22314,,"Scales, Modes, Semitones",
1772,Ionaritonic,5-note scale: 14,Semitone pattern: 23142,,"Scales, Modes, Semitones",
1773,Dynitonic,5-note scale: 14,Semitone pattern: 31422,,"Scales, Modes, Semitones",
1774,Zyditonic,5-note scale: 14,Semitone pattern: 14223,,"Scales, Modes, Semitones",
1775,Aeolacritonic,5-note scale: 15,Semitone pattern: 42123,,"Scales, Modes, Semitones",
1776,Zythitonic,5-note scale: 15,Semitone pattern: 21234,,"Scales, Modes, Semitones",
1777,Dyritonic,5-note scale: 15,Semitone pattern: 12342,,"Scales, Modes, Semitones",
1778,Koptitonic,5-note scale: 15,Semitone pattern: 23421,,"Scales, Modes, Semitones",
1779,Thocritonic,5-note scale: 15,Semitone pattern: 34212,,"Scales, Modes, Semitones",
1780,Lycritonic,5-note scale: 16,Semitone pattern: 41331,,"Scales, Modes, Semitones",
1781,Daptitonic,5-note scale: 16,Semitone pattern: 13314,,"Scales, Modes, Semitones",
1782,Kygitonic,5-note scale: 16,Semitone pattern: 33141,,"Scales, Modes, Semitones",
1783,Mocritonic,5-note scale: 16,Semitone pattern: 31413,,"Scales, Modes, Semitones",
1784,Zynitonic,5-note scale: 16,Semitone pattern: 14133,,"Scales, Modes, Semitones",
1785,Epygitonic,5-note scale: 17,Semitone pattern: 41322,,"Scales, Modes, Semitones",
1786,Zaptitonic,5-note scale: 17,Semitone pattern: 13224,,"Scales, Modes, Semitones",
1787,Kagitonic,5-note scale: 17,Semitone pattern: 32241,,"Scales, Modes, Semitones",
1788,Zogitonic,5-note scale: 17,Semitone pattern: 22413,,"Scales, Modes, Semitones",
1789,Epyritonic,5-note scale: 17,Semitone pattern: 24132,,"Scales, Modes, Semitones",
1790,Zothitonic,5-note scale: 18,Semitone pattern: 41313,,"Scales, Modes, Semitones",
1791,Phrolitonic,5-note scale: 18,Semitone pattern: 13134,,"Scales, Modes, Semitones",
1792,Ionagitonic,5-note scale: 18,Semitone pattern: 31341,,"Scales, Modes, Semitones",
1793,Aeolapritonic,5-note scale: 18,Semitone pattern: 13413,,"Scales, Modes, Semitones",
1794,Kyritonic,5-note scale: 18,Semitone pattern: 34131,,"Scales, Modes, Semitones",
1795,Ionyptitonic,5-note scale: 19,Semitone pattern: 41133,,"Scales, Modes, Semitones",
1796,Gyritonic,5-note scale: 19,Semitone pattern: 11334,,"Scales, Modes, Semitones",
1797,Zalitonic,5-note scale: 19,Semitone pattern: 13341,,"Scales, Modes, Semitones",
1798,Stolitonic,5-note scale: 19,Semitone pattern: 33411,,"Scales, Modes, Semitones",
1799,Bylitonic,5-note scale: 19,Semitone pattern: 34113,,"Scales, Modes, Semitones",
1800,Thoditonic,5-note scale: 20,Semitone pattern: 33231,,"Scales, Modes, Semitones",
1801,Dogitonic,5-note scale: 20,Semitone pattern: 32313,,"Scales, Modes, Semitones",
1802,Phralitonic,5-note scale: 20,Semitone pattern: 23133,,"Scales, Modes, Semitones",
1803,Garitonic,5-note scale: 20,Semitone pattern: 31332,,"Scales, Modes, Semitones",
1804,Soptitonic,5-note scale: 20,Semitone pattern: 13323,,"Scales, Modes, Semitones",
1805,Kataritonic,5-note scale: 21,Semitone pattern: 33222,,"Scales, Modes, Semitones",
1806,Sylitonic,5-note scale: 21,Semitone pattern: 32223,,"Scales, Modes, Semitones",
1807,Thonitonic,5-note scale: 21,Semitone pattern: 22233,,"Scales, Modes, Semitones",
1808,Phropitonic,5-note scale: 21,Semitone pattern: 22332,,"Scales, Modes, Semitones",
1809,Staditonic,5-note scale: 21,Semitone pattern: 23322,,"Scales, Modes, Semitones",
1810,Lyditonic,5-note scale: 22,Semitone pattern: 33132,,"Scales, Modes, Semitones",
1811,Mythitonic,5-note scale: 22,Semitone pattern: 31323,,"Scales, Modes, Semitones",
1812,Sogitonic,5-note scale: 22,Semitone pattern: 13233,,"Scales, Modes, Semitones",
1813,Gothitonic,5-note scale: 22,Semitone pattern: 32331,,"Scales, Modes, Semitones",
1814,Rothitonic,5-note scale: 22,Semitone pattern: 23313,,"Scales, Modes, Semitones",
1815,Zylitonic,5-note scale: 23,Semitone pattern: 44211,,"Scales, Modes, Semitones",
1816,Zoditonic,5-note scale: 23,Semitone pattern: 42114,,"Scales, Modes, Semitones",
1817,Zaritonic,5-note scale: 23,Semitone pattern: 21144,,"Scales, Modes, Semitones",
1818,Phrythitonic,5-note scale: 23,Semitone pattern: 11442,,"Scales, Modes, Semitones",
1819,Rolitonic,5-note scale: 23,Semitone pattern: 14421,,"Scales, Modes, Semitones",
1820,Ranitonic,5-note scale: 24,Semitone pattern: 44112,,"Scales, Modes, Semitones",
1821,Laditonic,5-note scale: 24,Semitone pattern: 41124,,"Scales, Modes, Semitones",
1822,Poditonic,5-note scale: 24,Semitone pattern: 11244,,"Scales, Modes, Semitones",
1823,Ionothitonic,5-note scale: 24,Semitone pattern: 12441,,"Scales, Modes, Semitones",
1824,Kanitonic,5-note scale: 24,Semitone pattern: 24411,,"Scales, Modes, Semitones",
1825,Ryphitonic,5-note scale: 25,Semitone pattern: 43122,,"Scales, Modes, Semitones",
1826,Gylitonic,5-note scale: 25,Semitone pattern: 31224,,"Scales, Modes, Semitones",
1827,Aeolycritonic,5-note scale: 25,Semitone pattern: 12243,,"Scales, Modes, Semitones",
1828,Pynitonic,5-note scale: 25,Semitone pattern: 22431,,"Scales, Modes, Semitones",
1829,Zanitonic,5-note scale: 25,Semitone pattern: 24312,,"Scales, Modes, Semitones",
1830,Phronitonic,5-note scale: 26,Semitone pattern: 42312,,"Scales, Modes, Semitones",
1831,Banitonic,5-note scale: 26,Semitone pattern: 23124,,"Scales, Modes, Semitones",
1832,Aeronitonic,5-note scale: 26,Semitone pattern: 31242,,"Scales, Modes, Semitones",
1833,Golitonic,5-note scale: 26,Semitone pattern: 12423,,"Scales, Modes, Semitones",
1834,Dyptitonic,5-note scale: 26,Semitone pattern: 24231,,"Scales, Modes, Semitones",
1835,Aerynitonic,5-note scale: 27,Semitone pattern: 42213,,"Scales, Modes, Semitones",
1836,Palitonic,5-note scale: 27,Semitone pattern: 22134,,"Scales, Modes, Semitones",
1837,Stothitonic,5-note scale: 27,Semitone pattern: 21342,,"Scales, Modes, Semitones",
1838,Aerophitonic,5-note scale: 27,Semitone pattern: 13422,,"Scales, Modes, Semitones",
1839,Katagitonic,5-note scale: 27,Semitone pattern: 34221,,"Scales, Modes, Semitones",
1840,Ionoditonic,5-note scale: 28,Semitone pattern: 42132,,"Scales, Modes, Semitones",
1841,Bogitonic,5-note scale: 28,Semitone pattern: 21324,,"Scales, Modes, Semitones",
1842,Mogitonic,5-note scale: 28,Semitone pattern: 13242,,"Scales, Modes, Semitones",
1843,Docritonic,5-note scale: 28,Semitone pattern: 32421,,"Scales, Modes, Semitones",
1844,Epaditonic,5-note scale: 28,Semitone pattern: 24213,,"Scales, Modes, Semitones",
1845,Mixitonic,5-note scale: 29,Semitone pattern: 33321,,"Scales, Modes, Semitones",
1846,Phrothitonic,5-note scale: 29,Semitone pattern: 33213,,"Scales, Modes, Semitones",
1847,Katycritonic,5-note scale: 29,Semitone pattern: 32133,,"Scales, Modes, Semitones",
1848,Ionalitonic,5-note scale: 29,Semitone pattern: 21333,,"Scales, Modes, Semitones",
1849,Loptitonic,5-note scale: 29,Semitone pattern: 13332,,"Scales, Modes, Semitones",
1850,Thyritonic,5-note scale: 30,Semitone pattern: 33312,,"Scales, Modes, Semitones",
1851,Thoptitonic,5-note scale: 30,Semitone pattern: 33123,,"Scales, Modes, Semitones",
1852,Bycritonic,5-note scale: 30,Semitone pattern: 31233,,"Scales, Modes, Semitones",
1853,Pathitonic,5-note scale: 30,Semitone pattern: 12333,,"Scales, Modes, Semitones",
1854,Myditonic,5-note scale: 30,Semitone pattern: 23331,,"Scales, Modes, Semitones",
1855,Bolitonic,5-note scale: 31,Semitone pattern: 42222,,"Scales, Modes, Semitones",
1856,Bothitonic,5-note scale: 31,Semitone pattern: 22224,,"Scales, Modes, Semitones",
1857,Kataditonic,5-note scale: 31,Semitone pattern: 22242,,"Scales, Modes, Semitones",
1858,Koditonic,5-note scale: 31,Semitone pattern: 22422,,"Scales, Modes, Semitones",
1859,Tholitonic,5-note scale: 31,Semitone pattern: 24222,,"Scales, Modes, Semitones",
1860,Epathimic,6-note scale: 1,Semitone pattern: 322122,,"Scales, Modes, Semitones",
1861,Mynimic,6-note scale: 1,Semitone pattern: 221223,,"Scales, Modes, Semitones",
1862,Rocrimic,6-note scale: 1,Semitone pattern: 212232,,"Scales, Modes, Semitones",
1863,Eporimic,6-note scale: 1,Semitone pattern: 122322,,"Scales, Modes, Semitones",
1864,Thaptimic,6-note scale: 1,Semitone pattern: 223221,,"Scales, Modes, Semitones",
1865,Lothimic,6-note scale: 1,Semitone pattern: 232212,,"Scales, Modes, Semitones",
1866,Dyrimic,6-note scale: 2,Semitone pattern: 421221,,"Scales, Modes, Semitones",
1867,Koptimic,6-note scale: 2,Semitone pattern: 212214,,"Scales, Modes, Semitones",
1868,Thocrimic,6-note scale: 2,Semitone pattern: 122142,,"Scales, Modes, Semitones",
1869,Aeolanimic,6-note scale: 2,Semitone pattern: 221421,,"Scales, Modes, Semitones",
1870,Danimic,6-note scale: 2,Semitone pattern: 214212,,"Scales, Modes, Semitones",
1871,Ionarimic,6-note scale: 2,Semitone pattern: 142122,,"Scales, Modes, Semitones",
1872,Daptimic,6-note scale: 3,Semitone pattern: 414111,,"Scales, Modes, Semitones",
1873,Kygimic,6-note scale: 3,Semitone pattern: 141114,,"Scales, Modes, Semitones",
1874,Mocrimic,6-note scale: 3,Semitone pattern: 411141,,"Scales, Modes, Semitones",
1875,Zynimic,6-note scale: 3,Semitone pattern: 111414,,"Scales, Modes, Semitones",
1876,Aeolimic,6-note scale: 3,Semitone pattern: 114141,,"Scales, Modes, Semitones",
1877,Zythimic,6-note scale: 3,Semitone pattern: 141411,,"Scales, Modes, Semitones",
1878,Epygimic,6-note scale: 4,Semitone pattern: 412311,,"Scales, Modes, Semitones",
1879,Zaptimic,6-note scale: 4,Semitone pattern: 123114,,"Scales, Modes, Semitones",
1880,Kagimic,6-note scale: 4,Semitone pattern: 231141,,"Scales, Modes, Semitones",
1881,Zogimic,6-note scale: 4,Semitone pattern: 311412,,"Scales, Modes, Semitones",
1882,Epyrimic,6-note scale: 4,Semitone pattern: 114123,,"Scales, Modes, Semitones",
1883,Lycrimic,6-note scale: 4,Semitone pattern: 141231,,"Scales, Modes, Semitones",
1884,Bylimic,6-note scale: 5,Semitone pattern: 412221,,"Scales, Modes, Semitones",
1885,Zothimic,6-note scale: 5,Semitone pattern: 122214,,"Scales, Modes, Semitones",
1886,Phrolimic,6-note scale: 5,Semitone pattern: 222141,,"Scales, Modes, Semitones",
1887,Ionagimic,6-note scale: 5,Semitone pattern: 221412,,"Scales, Modes, Semitones",
1888,Aeolaphimic,6-note scale: 5,Semitone pattern: 214122,,"Scales, Modes, Semitones",
1889,Kycrimic,6-note scale: 5,Semitone pattern: 141222,,"Scales, Modes, Semitones",
1890,Garimic,6-note scale: 6,Semitone pattern: 412212,,"Scales, Modes, Semitones",
1891,Soptimic,6-note scale: 6,Semitone pattern: 122124,,"Scales, Modes, Semitones",
1892,Ionyptimic,6-note scale: 6,Semitone pattern: 221241,,"Scales, Modes, Semitones",
1893,Gyrimic,6-note scale: 6,Semitone pattern: 212412,,"Scales, Modes, Semitones",
1894,Zalimic,6-note scale: 6,Semitone pattern: 124122,,"Scales, Modes, Semitones",
1895,Stolimic,6-note scale: 6,Semitone pattern: 241221,,"Scales, Modes, Semitones",
1896,Thonimic,6-note scale: 7,Semitone pattern: 411411,,"Scales, Modes, Semitones",
1897,Stadimic,6-note scale: 7,Semitone pattern: 114114,,"Scales, Modes, Semitones",
1898,Thodimic,6-note scale: 7,Semitone pattern: 141141,,"Scales, Modes, Semitones",
1899,Mythimic,6-note scale: 8,Semitone pattern: 411321,,"Scales, Modes, Semitones",
1900,Sogimic,6-note scale: 8,Semitone pattern: 113214,,"Scales, Modes, Semitones",
1901,Gogimic,6-note scale: 8,Semitone pattern: 132141,,"Scales, Modes, Semitones",
1902,Rothimic,6-note scale: 8,Semitone pattern: 321411,,"Scales, Modes, Semitones",
1903,Katarimic,6-note scale: 8,Semitone pattern: 214113,,"Scales, Modes, Semitones",
1904,Sylimic,6-note scale: 8,Semitone pattern: 141132,,"Scales, Modes, Semitones",
1905,Mixolimic,6-note scale: 9,Semitone pattern: 323211,,"Scales, Modes, Semitones",
1906,Dadimic,6-note scale: 9,Semitone pattern: 232113,,"Scales, Modes, Semitones",
1907,Aeolyphimic,6-note scale: 9,Semitone pattern: 321132,,"Scales, Modes, Semitones",
1908,Gycrimic,6-note scale: 9,Semitone pattern: 211323,,"Scales, Modes, Semitones",
1909,Pyrimic,6-note scale: 9,Semitone pattern: 113232,,"Scales, Modes, Semitones",
1910,Lydimic,6-note scale: 9,Semitone pattern: 132321,,"Scales, Modes, Semitones",
1911,Ionacrimic,6-note scale: 10,Semitone pattern: 323112,,"Scales, Modes, Semitones",
1912,Gathimic,6-note scale: 10,Semitone pattern: 231123,,"Scales, Modes, Semitones",
1913,Ionynimic,6-note scale: 10,Semitone pattern: 311232,,"Scales, Modes, Semitones",
1914,Phrynimic,6-note scale: 10,Semitone pattern: 112323,,"Scales, Modes, Semitones",
1915,Stathimic,6-note scale: 10,Semitone pattern: 123231,,"Scales, Modes, Semitones",
1916,Thatimic,6-note scale: 10,Semitone pattern: 232311,,"Scales, Modes, Semitones",
1917,Dalimic,6-note scale: 11,Semitone pattern: 322311,,"Scales, Modes, Semitones",
1918,Dygimic,6-note scale: 11,Semitone pattern: 223113,,"Scales, Modes, Semitones",
1919,Zolimic,6-note scale: 11,Semitone pattern: 231132,,"Scales, Modes, Semitones",
1920,Epogimic,6-note scale: 11,Semitone pattern: 311322,,"Scales, Modes, Semitones",
1921,Lanimic,6-note scale: 11,Semitone pattern: 113223,,"Scales, Modes, Semitones",
1922,Paptimic,6-note scale: 11,Semitone pattern: 132231,,"Scales, Modes, Semitones",
1923,Darmic,6-note scale: 12,Semitone pattern: 322212,,"Scales, Modes, Semitones",
1924,Lonimic,6-note scale: 12,Semitone pattern: 222123,,"Scales, Modes, Semitones",
1925,Ionycrimic,6-note scale: 12,Semitone pattern: 221232,,"Scales, Modes, Semitones",
1926,Phradimic,6-note scale: 12,Semitone pattern: 212322,,"Scales, Modes, Semitones",
1927,Aeolorimic,6-note scale: 12,Semitone pattern: 123222,,"Scales, Modes, Semitones",
1928,Gonimic,6-note scale: 12,Semitone pattern: 232221,,"Scales, Modes, Semitones",
1929,Phracrimic,6-note scale: 13,Semitone pattern: 321222,,"Scales, Modes, Semitones",
1930,Aerathimic,6-note scale: 13,Semitone pattern: 212223,,"Scales, Modes, Semitones",
1931,Sarimic,6-note scale: 13,Semitone pattern: 122232,,"Scales, Modes, Semitones",
1932,Zoptimic,6-note scale: 13,Semitone pattern: 222321,,"Scales, Modes, Semitones",
1933,Zeracrimic,6-note scale: 13,Semitone pattern: 223212,,"Scales, Modes, Semitones",
1934,Byptimic,6-note scale: 13,Semitone pattern: 232122,,"Scales, Modes, Semitones",
1935,Starimic,6-note scale: 14,Semitone pattern: 432111,,"Scales, Modes, Semitones",
1936,Phrathimic,6-note scale: 14,Semitone pattern: 321114,,"Scales, Modes, Semitones",
1937,Saptimic,6-note scale: 14,Semitone pattern: 211143,,"Scales, Modes, Semitones",
1938,Aerodimic,6-note scale: 14,Semitone pattern: 111432,,"Scales, Modes, Semitones",
1939,Macrimic,6-note scale: 14,Semitone pattern: 114321,,"Scales, Modes, Semitones",
1940,Rogimic,6-note scale: 14,Semitone pattern: 143211,,"Scales, Modes, Semitones",
1941,Bygimic,6-note scale: 15,Semitone pattern: 431121,,"Scales, Modes, Semitones",
1942,Thycrimic,6-note scale: 15,Semitone pattern: 311214,,"Scales, Modes, Semitones",
1943,Aeoladimic,6-note scale: 15,Semitone pattern: 112143,,"Scales, Modes, Semitones",
1944,Dylimic,6-note scale: 15,Semitone pattern: 121431,,"Scales, Modes, Semitones",
1945,Eponimic,6-note scale: 15,Semitone pattern: 214311,,"Scales, Modes, Semitones",
1946,Katygimic,6-note scale: 15,Semitone pattern: 143112,,"Scales, Modes, Semitones",
1947,Stalimic,6-note scale: 16,Semitone pattern: 423111,,"Scales, Modes, Semitones",
1948,Stoptimic,6-note scale: 16,Semitone pattern: 231114,,"Scales, Modes, Semitones",
1949,Zygimic,6-note scale: 16,Semitone pattern: 311142,,"Scales, Modes, Semitones",
1950,Kataptimic,6-note scale: 16,Semitone pattern: 111423,,"Scales, Modes, Semitones",
1951,Aeolaptimic,6-note scale: 16,Semitone pattern: 114231,,"Scales, Modes, Semitones",
1952,Pothimic,6-note scale: 16,Semitone pattern: 142311,,"Scales, Modes, Semitones",
1953,Rycrimic,6-note scale: 17,Semitone pattern: 422121,,"Scales, Modes, Semitones",
1954,Ronimic,6-note scale: 17,Semitone pattern: 221214,,"Scales, Modes, Semitones",
1955,Stycrimic,6-note scale: 17,Semitone pattern: 212142,,"Scales, Modes, Semitones",
1956,Katorimic,6-note scale: 17,Semitone pattern: 121422,,"Scales, Modes, Semitones",
1957,Epythimic,6-note scale: 17,Semitone pattern: 214221,,"Scales, Modes, Semitones",
1958,Kaptimic,6-note scale: 17,Semitone pattern: 142212,,"Scales, Modes, Semitones",
1959,Katythimic,6-note scale: 18,Semitone pattern: 421311,,"Scales, Modes, Semitones",
1960,Madimic,6-note scale: 18,Semitone pattern: 213114,,"Scales, Modes, Semitones",
1961,Aerygimic,6-note scale: 18,Semitone pattern: 131142,,"Scales, Modes, Semitones",
1962,Pylimic,6-note scale: 18,Semitone pattern: 311421,,"Scales, Modes, Semitones",
1963,Ionathimic,6-note scale: 18,Semitone pattern: 114213,,"Scales, Modes, Semitones",
1964,Morimic,6-note scale: 18,Semitone pattern: 142131,,"Scales, Modes, Semitones",
1965,Aerycrimic,6-note scale: 19,Semitone pattern: 421131,,"Scales, Modes, Semitones",
1966,Ganimic,6-note scale: 19,Semitone pattern: 211314,,"Scales, Modes, Semitones",
1967,Eparimic,6-note scale: 19,Semitone pattern: 113142,,"Scales, Modes, Semitones",
1968,Lyrimic,6-note scale: 19,Semitone pattern: 131421,,"Scales, Modes, Semitones",
